Time,Open,High,Low,Close,Adj Close,Volume,logClose
215,625.799988,633.450012,619.049988,628.299988,628.299988,14695436,6.44301774
216,633,635.5,624.700012,627.75,627.75,11675202,6.442141998
217,627,634.900024,600.650024,605.099976,605.099976,30954343,6.405393694
218,609.950012,622.349976,603.099976,618.299988,618.299988,19221835,6.426973757
219,618.5,623.799988,606.25,612.75,612.75,22684904,6.417957022
220,619,629.5,615.599976,622.950012,622.950012,19572140,6.434466278
221,625.450012,633.5,624.200012,626.75,626.75,16966577,6.440547737
222,626.400024,643.200012,622,640.5,640.5,23270745,6.462249121
223,642.75,652.950012,633.25,647.650024,647.650024,26587707,6.473350464
224,652,660.549988,646.700012,649.650024,649.650024,27471811,6.476433793
225,647.099976,654.799988,638.75,642.950012,642.950012,28339525,6.466066979
226,644.450012,655,637.700012,650.25,650.25,14079390,6.477356904
227,655.049988,677.950012,655,675.25,675.25,41696232,6.515082993
228,680.400024,718.900024,678.5,699.549988,699.549988,74222434,6.550437254
229,703.650024,728.349976,694.200012,725.25,725.25,43235061,6.586516423
230,726,726,704.5,707.900024,707.900024,22873137,6.562302875
231,708.549988,718,702.150024,713.450012,713.450012,23351472,6.570112374
232,705.549988,748.5,705.549988,743.400024,743.400024,36782182,6.61123429
233,747.700012,764,741.650024,761.700012,761.700012,33941282,6.635552793
234,763.450012,774.599976,753.349976,754.700012,754.700012,27365121,6.626320335
235,758.700012,765,750,759.25,759.25,13979584,6.632331104
236,759.049988,763.5,754,760.099976,760.099976,12528399,6.633449972
237,760.650024,777.5,759.599976,771.5,771.5,21465311,6.648336672
238,773,773,757,765.900024,765.900024,18799244,6.641051644
239,765.900024,770.5,755,759.049988,759.049988,14143636,6.632067636
240,755,766.349976,752.700012,758.900024,758.900024,11355186,6.631870048
241,758.900024,762.349976,742.200012,749.849976,749.849976,13969393,6.619873155
242,749.849976,756.75,741,742.5,742.5,11263318,6.610022871
243,743.900024,753.900024,737.150024,748.099976,748.099976,19217113,6.617536627
244,752,772,751.950012,769.150024,769.150024,17348526,6.64528604
245,771.950012,777,768.900024,773.700012,773.700012,1158960,6.651184217
